image,panoId,EC_id,confidence,col,bottom_row,top_row,FFE_gsv_m,EC_FFE_m,error_m,delta_h,distance,sink_distance,camera_h,camera_dem_m,phi,pano_lat,pano_lon,target_lat,target_lon,target_elev,image_date,edge,is_lowest_door
3566_36.730072_-76.238995_0_328.75.jpg,D5Zw3ZOzKsqfKuc0teUalw,3566,0.945801,340,493,304,2.7502264205658733,2.9870400000000004,0.23681357943412706,1.228021692565873,15.399709979585882,-1.181478906434127,2.409500599,1.5222047280000002,-0.030344503358221583,36.730072,-76.238995,36.73018839762595,-76.23908886731546,2.7502264205658733,2019-04,Not_at_edge,Y
3567_36.740225_-76.315016_0_222.25.jpg,k_K5pNwn90k28wN2Z0a-CQ,3567,0.941895,370,475,350,3.1303199360466953,3.5804856000000003,0.45016566395330493,0.9151706960466954,23.27475814005044,-1.4940755099533047,2.409246206,2.21514924,-0.009419743189711421,36.740225,-76.315016,36.74006842956183,-76.31518939095541,3.1303199360466953,2019-04,Not_at_edge,Y
3571_36.71419_-76.269578_0_22.03.jpg,hixa1diWWSkRLkV2hKlBQw,3571,0.960449,343,581,412,2.9545085946051652,3.4567368,0.5022282053948346,0.5446043466051651,17.2211290425948,-2.378339483394835,2.92294383,2.409904248,-0.028252545905947786,36.71419,-76.269578,36.71433544056425,-76.2695107766491,2.9545085946051652,2015-08,Not_at_edge,Y
3573_36.743508_-76.309548_0_356.82.jpg,qCS32aMxhPcycs7xSTudkw,3573,0.94873,692,448,314,2.9839810919473635,3.2787336000000002,0.29475250805263675,1.3237202519473636,22.20627095091288,-0.9695551040526363,2.293275356,1.66026084,0.21169755233254162,36.743508,-76.309548,36.743705669396235,-76.30950932052349,2.9839810919473635,2019-04,Not_at_edge,Y
3576_36.744051_-76.314104_0_310.34.jpg,svqwlIg3uE7uk6rd21K0pw,3576,0.950684,252,467,343,3.1780331494249277,3.3387792000000003,0.16074605057507263,1.0508888134249275,23.559966667792263,-1.3587941755750728,2.409682989,2.127144336,-0.09150243287966169,36.744051,-76.314104,36.74417306745226,-76.31431983738693,3.1780331494249277,2019-04,Not_at_edge,Y
3578_36.720725_-76.276054_0_309.10.jpg,QdaUqg_wdKLFVX140HEBWQ,3578,0.952148,720,519,355,3.342811869394283,3.3052512,0.03756066939428315,1.2479275653942827,18.22290660261495,-1.6834088376057172,2.931336403,2.0948843040000003,0.2309572164768698,36.720725,-76.276054,36.72085498524443,-76.27617864768308,3.342811869394283,2015-08,Not_at_edge,Y
358_36.674972_-76.921002_0_322.73.jpg,cg-tTYBjJlMDn1ajaAJW6A,358,0.282471,261,540,289,5.777256304271991,5.6156352,0.16162110427199128,1.663462144271991,11.632734356102768,-1.261676090728009,2.925138235,4.11379416,-0.08527119502242463,36.674972,-76.921002,36.67504971019164,-76.92108934046875,5.777256304271991,2018-05,Not_at_edge,Y
3590_36.732767_-76.253266_0_209.76.jpg,S0PnJ6Kxkw3izvBmcGSaFg,3590,0.895996,133,527,334,3.7028121878236067,3.7938456,0.09103341217639338,1.4114629478236065,15.302164833507895,-1.5040944361763935,2.915557384,2.29134924,-0.17304679766618425,36.732767,-76.253266,36.732637297532236,-76.2533241575243,3.7028121878236067,2015-07,Not_at_edge,Y
3591_36.743254_-76.307961_0_356.00.jpg,HyUvrUzE2ZL3bx9hOdteeQ,3591,0.950195,527,372,240,3.7837400110909094,3.5966400000000003,0.18710001109090912,2.594254963090909,22.149669399134186,0.18453954909090914,2.409715414,1.189485048,0.0997994203973259,36.743254,-76.307961,36.74345350568241,-76.30795356424473,3.7837400110909094,2019-04,Not_at_edge,Y
3593_36.741785_-76.28781_0_82.89.jpg,lkl4N769lz0Ab3Wp85y29Q,3593,0.932129,533,540,392,2.7994958291097425,2.8215336,0.02203777089025749,0.7727648051097424,19.764226125981995,-2.1397334308902574,2.912498236,2.026731024,0.10428765871170181,36.741785,-76.28781,36.7417885268734,-76.2875887486059,2.7994958291097425,2015-07,Not_at_edge,Y
