ID,LAT,LON,panoId,LAG,HAG,LOWELEV_ST,FFE_ft,DEM_ft,camera_height_m,image_date,elevation_wgs84_m,elevation_egm96_m,pano_lat,pano_lng
309,36.704393,-75.928069,B5F2cMYsT4BUno2q1ufcjA,12.2,13.3,12,13.6,8.04157,2.409116268,2019-04,-35.094122,4.505351,36.704302,-75.928381
313,36.834676,-75.976217,g3OjejwZPBck7-LyuYidVA,9,10,9.3,11.3,9.31769,2.833691835,2016-03,-34.794932,4.532308,36.834483,-75.976168
316,36.715506,-75.932565,SSUriNUx-SiNfMzCB9j7HQ,11.2,12.3,11.2,14.6,8.99504,2.504177094,2019-04,-34.575619,5.003074,36.715457,-75.932844
325,36.731308,-75.938969,fAONJQ-yb3SZaxbDZ6hxRw,11,12.4,10.4,22.9,9.77424,2.408875227,2019-04,-35.652712,3.897162,36.731371,-75.938641
333,36.729746,-75.93773,RLzrdrjjYUTwT1l0Gd9i-w,13.6,15.1,14.2,13.6,9.65368,2.306617975,2019-04,-35.691391,3.861667,36.729642,-75.937975
337,36.730698,-75.942247,QqZTF7_sRkRzOy_X69kHlA,6,6.4,5.6,9.1,4.19917,2.409210205,2019-04,-37.488084,2.056739,36.73062,-75.942505
339,36.907002,-76.097397,DZoOEXXi6wxJwm4tFSvtsQ,6.5,7,6.7,9.19,5.10034,2.914050817,2016-04,-35.92677,2.982792,36.906878,-76.097103
345,36.909884,-76.062396,mFFZXwVk9HoGpGziI-EYVw,5.7,6.1,6.1,7.1,4.18241,2.899576664,2015-09,-34.906683,4.090468,36.909668,-76.062358
346,36.909008,-76.060147,6pb_5BjKMZ8tmbuF3GUX0w,5.8,6.7,6.5,7.5,4.40396,2.909147739,2015-09,-35.304292,3.699034,36.908987,-76.06041
353,36.676336,-76.921727,_236q-JiuKr04_8Hg-z2Sg,17.324,,,18.024,17.9685,2.923799992,2018-05,-28.854368,8.105219,36.676486,-76.921484
358,36.675152,-76.92115,cg-tTYBjJlMDn1ajaAJW6A,13.624,14.024,,18.424,13.4967,2.925138235,2018-05,-30.264387,6.697001,36.674972,-76.921002
369,36.671354,-76.919442,tncfF6iwC05oxiBW4_1RBQ,14.134,,,18.034,14.7587,2.916590214,2014-06,-30.071428,6.895899,36.671408,-76.919242
370,36.670614,-76.918389,PLfaWhCp0ikOUx-T2AY7Ag,12.134,,,15.834,13.2376,2.929147005,2014-06,-30.678895,6.290248,36.670541,-76.918653
371,36.670725,-76.918969,scLtJKGKduR5lBistWP12A,13.934,,,16.234,13.7239,2.935534954,2014-06,-30.524715,6.443948,36.670775,-76.918812
372,36.671845,-76.919777,OtTzCq97qsD8luxj68GWBw,14.031,,,17.731,15.3975,2.91086483,2014-06,-29.70736,7.258922,36.671894,-76.91958
373,36.672153,-76.919909,vnM-7Go6SD-czOlLV4izUQ,12.031,,,15.031,13.6653,2.87455821,2014-06,-30.037632,6.927994,36.672184,-76.919775
374,36.671977,-76.919856,3BWdVTOpC_caQ9jQEVIFdQ,13.231,,,16.431,14.3744,2.930317402,2014-06,-29.912971,7.052849,36.672093,-76.919714
376,36.672451,-76.920274,8wMqHi1wJEpdpJDybmELpg,11.631,,,15.131,11.9482,2.924614191,2014-06,-30.057344,6.907607,36.672528,-76.920006
377,36.673103,-76.920866,gMMb-nG0rUT1lSh5NUtQNw,12.631,,,14.831,12.8687,2.923098326,2018-05,-29.880731,7.081454,36.673288,-76.920967
380,36.672187,-76.919564,3BWdVTOpC_caQ9jQEVIFdQ,14.031,,,18.031,14.3744,2.930317402,2014-06,-29.912971,7.052849,36.672093,-76.919714
383,36.674554,-76.920054,1XWstNfasbu8D34IXOrmTg,14.924,,,16.524,16.7658,3.065473318,2018-05,-29.070085,7.894176,36.674677,-76.919878
